,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
694,3.54,0,MAC1147,C_range,13,2.046153846,Retained
695,4.1,6,MAC2311/UP,B_range,13,3.484615385,Retained
696,4.38,39,MAC1147,A_range,13,3.838461538,Retained
697,4.44,3,MAC1147,Withdrawn,9,0,Dropped
698,2.73,6,MAC1147,Withdrawn,12,1.6,Retained
699,3.66,16,MAC2311/UP,Withdrawn,10,2.92,Retained
700,4.53,11,MAC2311/UP,A_range,15,3.72,Retained
701,3.79,7,MAC1147,Failed,15,0.866666667,Dropped
702,3.2,0,MAC1140/14,A_range,12,4,Dropped
703,3.21,0,MAC1105/C,Withdrawn,10,2.12,Retained
704,4.79,71,NoAttempt,NoAttempt,14,3.785714286,Retained
705,3.52,0,NoAttempt,NoAttempt,12,3.6,Retained
706,3.71,0,MAC1105/C,A_range,14,2.492857143,Retained
707,4,9,MAC1147,Withdrawn,10,2.86,Retained
708,3.16,12,MAC1147,B_range,13,3.553846154,Retained
709,3.67,0,NoAttempt,NoAttempt,13,3.307692308,Retained
710,3.95,0,MAC1147,B_range,14,3.414285714,Retained
711,4.1,73,NoAttempt,NoAttempt,13,4,Retained
712,3.87,0,MAC1105/C,A_range,14,2.978571429,Retained
713,4.23,68,MAC2311/UP,A_range,13,3.692307692,Retained
714,3.53,7,MAC1105/C,C_range,13,2.161538462,Retained
715,3.67,0,MAC1105/C,Withdrawn,4,0,Dropped
716,3.9,3,MAC1147,B_range,7,1.542857143,Dropped
717,3.83,0,MAC1147,B_range,16,3.43125,Retained
718,4.02,12,MAC1147,Withdrawn,8,2.4875,Retained
719,4.08,6,MAC1147,A_range,14,3.935714286,Retained
720,3.15,12,NoAttempt,NoAttempt,10,2.23,Retained
721,4.465,44,MAC2311/UP,B_range,15,3.073333333,Retained
722,3.86,6,MAC1105/C,C_range,14,2.885714286,Retained
723,4.5,13,MAC1105/C,Failed,14,2.085714286,Retained
724,3.68,57,MAC1147,Withdrawn,0,0,Dropped
725,3.54,0,MAC1105/C,C_range,15,2.82,Dropped
726,3.4,0,MAC1147,A_range,16,3.75625,Retained
727,3.61,74,MAC1147,C_range,15,2.326666667,Retained
728,4.33,34,MAC1147,A_range,12,3.75,Retained
729,2.81,4,MAC1147,Failed,12,1.4,Retained
730,3.82,27,MAC1147,Failed,14,2.714285714,Dropped
731,3.08,9,MAC1147,Failed,13,0.923076923,Dropped
732,2.51,0,MAC1105/C,C_range,14,1.657142857,Retained
733,2.94,6,MAC1147,Withdrawn,8,1.1125,Retained
734,3.61,0,NoAttempt,NoAttempt,13,2.569230769,Dropped
735,3.79,0,MAC1147,A_range,15,3.093333333,Retained
736,3.78,16,MAC2311/UP,A_range,17,3.717647059,Retained
737,3.19,12,MAC1147,C_range,13,1.930769231,Retained
738,4.39,15,MAC2311/UP,A_range,15,3.86,Retained
739,2.75,0,MAC1105/C,C_range,14,2.214285714,Retained
740,4.18,21,MAC1147,C_range,15,2.333333333,Dropped
741,3.03,0,MAC1105/C,B_range,14,2.435714286,Retained
742,3,3,MAC1147,B_range,14,3.535714286,Retained
743,4.56,7,MAC1105/C,B_range,12,3.408333333,Retained
744,4.13,68,MAC2311/UP,B_range,14,3.521428571,Retained
745,4.22,19,MAC2311/UP,Failed,13,1.776923077,Retained
746,3.44,48,NoAttempt,NoAttempt,13,2.992307692,Retained
747,4.43,24,MAC1140/14,A_range,12,3.433333333,Retained
748,4.44,34,NoAttempt,NoAttempt,12,3.666666667,Retained
749,4.51,74,NoAttempt,NoAttempt,15,3.106666667,Retained
750,3.74,15,MAC1147,A_range,16,3.55,Dropped
751,2.83,0,MAC1105/C,Failed,13,2.146153846,Retained
752,2.8,7,MAC1105/C,Failed,13,0.7,Dropped
753,4.25,10,MAC2311/UP,B_range,13,3.023076923,Retained
754,3.47,7,MAC1105/C,B_range,13,3.3,Retained
755,4.29,13,NoAttempt,NoAttempt,13,4,Retained
756,4.23,19,MAC1147,A_range,13,3.384615385,Retained
757,3.46,6,MAC1147,B_range,13,3.184615385,Retained
758,3.67,0,MAC1105/C,B_range,14,3.428571429,Retained
759,4.48,11,MAC2311/UP,A_range,14,3.764285714,Retained
760,4.5,36,NoAttempt,NoAttempt,14,3.507142857,Retained
761,4.11,19,MAC1147,A_range,14,3.478571429,Retained
762,3.1,1,MAC1147,Failed,14,0.235714286,Dropped
763,4.97,25,MAC2311/UP,A_range,14,3.635714286,Retained
764,4.03,12,MAC1105/C,A_range,14,3.564285714,Retained
765,2.97,2,MAC1147,Withdrawn,5,0,Retained
766,4.25,22,MAC1147,A_range,15,3.66,Retained
767,3.43,6,MAC1147,C_range,13,1.676923077,Dropped
768,4.41,30,MAC1147,B_range,13,3.161538462,Retained
769,4,16,MAC2311/UP,A_range,16,4,Retained
770,3.16,0,MAC1105/C,Failed,10,1.99,Dropped
771,2.97,6,MAC1147,B_range,13,3.184615385,Retained
772,3.4,10,MAC1147,Failed,14,1.785714286,Dropped
773,4.635,35,MAC2311/UP,A_range,16,3.94375,Retained
774,3.6,57,MAC2311/UP,A_range,12,3.525,Retained
775,3.56,3,MAC1147,A_range,14,2.428571429,Retained
776,3.42,24,MAC2311/UP,Failed,15,2.693333333,Retained
777,4.11,24,MAC1147,A_range,15,3.133333333,Retained
778,3.9,2,MAC1105/C,C_range,14,1.992857143,Retained
779,4.46,61,MAC1147,C_range,15,3.033333333,Retained
780,4.88,42,MAC2311/UP,A_range,13,4,Dropped
781,4.24,23,MAC2311/UP,B_range,12,3.283333333,Retained
782,3.5,4,MAC2311/UP,A_range,13,3.284615385,Dropped
783,4.04,0,MAC1147,Failed,14,2.021428571,Retained
784,3.68,60,MAC2311/UP,C_range,13,2.692307692,Retained
785,4.68,21,MAC1147,A_range,15,3.473333333,Retained
786,3.23,0,MAC1147,C_range,15,2.84,Dropped
787,4.7,0,MAC1147,A_range,14,4,Retained
788,3.1,18,MAC1147,A_range,12,3.825,Retained
789,4.29,77,MAC2311/UP,A_range,15,3.486666667,Retained
790,4.36,30,MAC2311/UP,B_range,12,3.416666667,Retained
791,4.22,60,MAC2311/UP,B_range,15,2.06,Dropped
792,3.48,16,NoAttempt,NoAttempt,12,3,Retained
793,4,15,MAC1147,A_range,15,3.86,Retained
794,4.25,16,MAC1147,A_range,12,3.316666667,Retained
795,4.03,6,MAC1147,A_range,13,3.538461538,Retained
796,3.61,9,MAC1147,B_range,14,3.585714286,Retained
797,3.91,0,MAC1147,A_range,13,3.769230769,Retained
798,4.34,19,MAC2311/UP,C_range,12,2.491666667,Retained
799,3.46,0,MAC1105/C,B_range,14,3.064285714,Retained
800,3.01,0,MAC1105/C,Withdrawn,0,0,Dropped
801,4.76,0,MAC1147,Withdrawn,0,0,Dropped
802,4.13,30,MAC1147,B_range,15,2.86,Retained
803,3.04,3,MAC1147,A_range,16,3.04375,Retained
804,4.39,12,MAC1147,A_range,14,2.921428571,Retained
805,3.65,6,MAC1140/14,B_range,16,3.31875,Retained
806,3.4,0,MAC1147,C_range,13,2.415384615,Dropped
807,3.63,16,MAC1147,C_range,14,2.321428571,Retained
808,3.42,30,MAC1140/14,B_range,12,3.35,Retained
809,3.67,7,MAC2311/UP,A_range,15,3.66,Retained
810,3.09,0,MAC1147,Failed,13,1.153846154,Retained
811,3.1,12,MAC1105/C,B_range,15,2.413333333,Dropped
812,3.41,6,NoAttempt,NoAttempt,12,4,Retained
813,3.89,19,MAC2311/UP,B_range,15,3.053333333,Retained
814,3.9,16,MAC2311/UP,A_range,14,3.871428571,Retained
815,4.22,16,MAC1105/C,A_range,15,3.933333333,Retained
816,4,64,MAC2311/UP,B_range,13,3.715384615,Retained
817,4.04,28,MAC1140/14,A_range,13,4,Retained
818,2.97,0,NoAttempt,NoAttempt,3,4,Dropped
819,4.2,42,MAC1147,A_range,13,3.446153846,Retained
820,4.31,19,MAC2311/UP,A_range,14,3.85,Retained
821,3.86,3,MAC1147,Withdrawn,10,2.3,Retained
822,3.96,19,NoAttempt,NoAttempt,12,3.325,Retained
823,3.32,10,MAC2311/UP,Failed,15,1.233333333,Dropped
824,3.68,28,MAC2311/UP,Withdrawn,8,2.7625,Retained
825,3.79,6,MAC1105/C,Failed,11,0,Dropped
826,3.75,10,MAC1140/14,Failed,13,1.907692308,Retained
827,4.05,15,MAC2311/UP,B_range,14,3,Dropped
828,3.98,42,MAC1147,C_range,14,2.642857143,Retained
829,2.94,5,MAC1147,B_range,14,0.864285714,Dropped
830,4.3,6,MAC1147,B_range,14,3.514285714,Retained
831,4.44,52,MAC1147,A_range,13,3.769230769,Retained
832,4.13,0,MAC2311/UP,Failed,14,2.285714286,Retained
833,4.86,10,MAC1147,A_range,13,3.7,Retained
834,3.26,6,MAC1147,B_range,14,2.985714286,Retained
835,4.52,0,MAC1105/C,A_range,14,3.521428571,Retained
836,3.5,0,NoAttempt,NoAttempt,16,3.7125,Dropped
837,3.8,5.5,MAC1105/C,A_range,16,3.8875,Dropped
838,3.76,6,MAC1147,C_range,14,2.871428571,Retained
839,3.4,3,MAC1105/C,B_range,13,3.484615385,Retained
840,4.08,24,NoAttempt,NoAttempt,12,1.225,Dropped
841,3.59,25,MAC1147,A_range,15,3.613333333,Retained
842,3.65,24,MAC1147,A_range,16,4,Retained
843,3.72,25,NoAttempt,NoAttempt,13,3.476923077,Retained
844,3.76,0,MAC1147,A_range,14,3.871428571,Retained
845,3.18,6,MAC1147,B_range,14,2.985714286,Retained
846,3.91,9,MAC1147,A_range,15,3.74,Retained
847,3.5,0,MAC1105/C,B_range,14,2.835714286,Retained
848,4.52,21,MAC1147,A_range,14,3.635714286,Retained
849,3.09,6,MAC1147,Failed,10,0.6,Retained
850,3.65,0,MAC1105/C,B_range,14,3.078571429,Retained
851,3.76,0,MAC1147,B_range,14,2.985714286,Retained
852,2.47,0,MAC1147,Withdrawn,3,0,Dropped
853,3.2,3,MAC1147,Withdrawn,6,0.5,Dropped
854,3.57,0,MAC1147,C_range,14,2.628571429,Dropped
855,3.5,9,MAC1105/C,B_range,8,3.1625,Retained
856,3.9,15,MAC1147,A_range,12,3.225,Retained
857,3.68,16,MAC1147,A_range,12,3.666666667,Retained
858,4.57,9,MAC1147,A_range,14,3.7,Retained
859,3.05,12,MAC1147,C_range,12,2.775,Retained
860,4.25,36,NoAttempt,NoAttempt,17,3.564705882,Retained
861,3.1,12,MAC1105/C,Failed,13,0.853846154,Dropped
862,4.07,28,MAC2311/UP,B_range,13,3.5,Retained
863,3.99,18,MAC1147,Failed,15,1.873333333,Dropped
864,3.31,7,MAC1105/C,A_range,13,3.7,Retained
865,3.76,20,MAC1147,C_range,12,2.516666667,Retained
866,3.9,13,MAC1147,A_range,14,2.707142857,Retained
867,5.25,48,NoAttempt,NoAttempt,12,3.825,Retained
868,3.91,0,MAC2311/UP,A_range,14,3.935714286,Retained
869,4.18,12,MAC1147,B_range,14,3.321428571,Retained
870,4.6,3,MAC1147,B_range,12,3.358333333,Dropped
871,3.5,0,MAC1147,A_range,15,4,Retained
872,4.7,32,MAC2311/UP,B_range,13,3.476923077,Retained
873,4.1,10,MAC2311/UP,A_range,16,3.38125,Retained
875,3.47,0,MAC1105/C,B_range,10,3.09,Retained
876,4.29,0,MAC1147,Failed,13,2.615384615,Retained
877,4.6,60,MAC1147,C_range,13,2.415384615,Retained
878,4.1,21,MAC1147,A_range,13,3.584615385,Retained
879,3.68,0,MAC1105/C,B_range,12,2.425,Retained
880,3,0,MAC1147,C_range,10,1.28,Retained
881,4.33,15,MAC1147,A_range,13,3.769230769,Retained
882,3.8,0,MAC1105/C,A_range,12,4,Retained
883,3.77,60,MAC1147,B_range,14,3.071428571,Retained
884,3.84,38,MAC2311/UP,Withdrawn,10,0.99,Dropped
885,2.6,0,MAC1147,B_range,13,3.392307692,Retained
886,4.56,0,MAC1105/C,B_range,14,2.642857143,Retained
887,3.2,11,MAC1147,Failed,14,0.871428571,Dropped
888,3,1,MAC1147,Failed,9,0.444444444,Dropped
889,4.52,3,NoAttempt,NoAttempt,13,2.846153846,Retained
890,4.27,0,MAC1147,C_range,11,1.718181818,Dropped
891,3.11,6,MAC1105/C,Failed,12,0,Retained
892,3.4,0,NoAttempt,NoAttempt,14,2.771428571,Retained
893,4.31,36,MAC2311/UP,B_range,13,3.392307692,Retained
894,3.5,0,MAC1105/C,A_range,14,2.942857143,Dropped
895,3.81,0,MAC1105/C,B_range,13,3.253846154,Retained
896,3.9,22,MAC1147,C_range,14,3.15,Retained
897,4.47,19,MAC2311/UP,B_range,15,3.333333333,Retained
898,4.08,11,NoAttempt,NoAttempt,14,2.414285714,Retained
899,3.9,0,MAC1105/C,A_range,13,3.284615385,Retained
900,4.17,24,MAC1147,B_range,14,2.757142857,Retained
901,3.98,12,MAC1147,C_range,15,2.8,Dropped
902,3.28,7,MAC2311/UP,Failed,15,1.646666667,Retained
903,2.68,0,MAC1147,A_range,14,3.785714286,Retained
904,3.11,0,MAC1147,A_range,14,3.064285714,Retained
905,3.5,0,MAC1105/C,B_range,13,3.246153846,Retained
906,3.35,8,MAC1105/C,Failed,12,0.941666667,Retained
907,3.96,12,MAC1147,Failed,15,1.713333333,Dropped
908,4.08,53,NoAttempt,NoAttempt,12,3.925,Retained
909,3.79,3,MAC1105/C,A_range,14,3.421428571,Retained
910,3.82,3,MAC1147,B_range,12,3.333333333,Retained
911,4.39,25,MAC1147,A_range,15,3.753333333,Retained
