,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
366,3.77,9,MAC1105/C,C_range,11,1.063636364,Retained
367,4.32,0,MAC1105/C,A_range,14,3.042857143,Retained
368,3.5,4,NoAttempt,NoAttempt,13,0.484615385,Dropped
369,4.14,12,MAC2311/UP,B_range,12,3.591666667,Retained
370,3.74,12,MAC1147,A_range,14,3.235714286,Retained
371,3.33,3,MAC1147,B_range,15,2.353333333,Retained
372,4.2,10,NoAttempt,NoAttempt,13,2.230769231,Retained
373,4.77,26,MAC1147,B_range,13,3.484615385,Retained
374,3.45,9,MAC1105/C,Withdrawn,9,1.566666667,Retained
375,4.74,70,MAC2311/UP,A_range,14,3.764285714,Dropped
376,3.61,32,MAC1147,Failed,13,1.553846154,Retained
377,4.02,6,MAC1105/C,A_range,13,2.684615385,Retained
378,4,44,MAC1140/14,B_range,14,2.792857143,Dropped
379,3.68,6,MAC1147,A_range,16,2.5375,Retained
380,3.31,4,MAC1105/C,Failed,14,0.642857143,Retained
381,4.38,6,MAC2311/UP,C_range,14,3.15,Retained
382,4.38,24,MAC2311/UP,B_range,15,3.673333333,Retained
383,3.74,6,MAC2311/UP,Withdrawn,9,1.433333333,Retained
384,3.83,26,MAC1147,C_range,13,2.038461538,Retained
385,3.2,0,MAC1147,B_range,15,3.146666667,Retained
386,3.5,12,MAC1147,A_range,13,4,Retained
387,2.58,7,MAC1147,Failed,14,0,Retained
388,3.24,0,MAC1105/C,C_range,13,1.930769231,Retained
389,3.32,0,MAC1147,Withdrawn,3,1.7,Retained
390,3.68,0,MAC1147,C_range,13,1.884615385,Retained
391,4.063,32,MAC1147,A_range,12,4,Retained
392,3.92,36,MAC2311/UP,C_range,16,3.25625,Retained
393,3.1,0,MAC1105/C,Failed,10,2.29,Retained
394,3.1,0,MAC1105/C,B_range,8,3.5375,Retained
395,4.15,10,MAC1147,A_range,12,3.15,Retained
396,4.44,58,NoAttempt,NoAttempt,15,3.94,Retained
397,3.71,7,MAC1105/C,A_range,14,3.721428571,Retained
398,2.94,10,MAC1147,Failed,16,0.75625,Dropped
399,4.47,4,MAC2311/UP,Failed,12,2.341666667,Retained
400,3.5,0,MAC1147,Withdrawn,7,2.885714286,Retained
401,4.36,18,MAC1147,A_range,15,4,Retained
402,3.6,6,NoAttempt,NoAttempt,12,2.85,Dropped
